회사,표준산업분류,연혁,매출액,기업유형,평균연봉,홈페이지,고용보험 사업장 수,고용보험 가입 사원수,국민연금 가입 사원수,퇴사/입사 (1년)
MH에탄올,증류주 및 합성주 제조업,46년 (1978년 설립),-,주식회사,"8,559만원",www.mhethanol.com,1개,51명,53명,3명/5명
국동,"도장, 도배 및 내장 공사업",5년 (2019년 설립),-,,"2,767만원",-,1개,2명,,
동남합성,"세제, 화장품 및 광택제 제조업",59년 (1965년 설립),"1,934억 69만원",주식회사,"5,240만원",www.dongnamchem.com,1개,177명,174명,39명/50명
신도리코,사무용 기계 및 장비 제조업,64년 (1960년 설립),"3,086억 3,135만원",주식회사,"7,252만원",www.sindoh.com,1개,305명,307명,14명/31명
예스코홀딩스,그 외 기타 금융업,43년 (1981년 설립),"196억 8,681만원",주식회사,"9,554만원",www.yescoholdings.com,1개,36명,37명,9명/6명
퍼시스,포털 및 기타 인터넷 정보 매개 서비스업,5년 (2019년 설립),-,,-,-,1개,7명,,
세보엠이씨,구조용 금속제품 제조업,46년 (1978년 설립),"4,306억 7,678만원",주식회사,"7,700만원",www.sebomec.com,7개,"2,147명",787명,368명/394명
한일단조,"전동기, 발전기 및 전기 변환장치 제조업",58년 (1966년 설립),-,주식회사,"5,038만원",www.hifg.co.kr,1개,133명,124명,26명/27명
동원수산,신선 식품 및 단순 가공 식품 도매업,9년 (2015년 설립),-,,"4,242만원",-,1개,1명,,
미래산업,일반 기계류 수리업,18년 (2006년 설립),-,기타 법인,"4,175만원",-,1개,12명,12명,9명/8명
양지사,기타 종이 및 판지 제품 제조업,45년 (1979년 설립),"621억 3,500만원",주식회사,"36,363만원",www.yangjisa.com,1개,239명,200명,69명/59명
HDC,,,,,,,,,,
광전자,,,,,,,,,,
한국단자공업,기타 전자 부품 제조업,51년 (1973년 설립),"9,076억 6,230만원",주식회사,"7,343만원",www.ket.com,1개,"1,190명","1,193명",172명/182명
원익홀딩스,건물설비 설치 공사업,33년 (1991년 설립),"3,114억 8,281만원",주식회사,"7,789만원",www.wonikholdings.kr,1개,442명,399명,55명/63명
한글과컴퓨터,시스템ㆍ응용 소프트웨어 개발 및 공급업,34년 (1990년 설립),"1,153억 132만원",주식회사,"8,901만원",www.hancom.com,1개,401명,404명,84명/69명
메이슨캐피탈,여신 금융업,35년 (1989년 설립),-,주식회사,"5,499만원",mason-capital.co.kr,1개,13명,12명,1명/1명
광무,-,1년 (2023년 설립),-,,"1,748만원",-,1개,4명,,
대호특수강,"철강 압연, 압출 및 연신제품 제조업",36년 (1988년 설립),"2,008억 9,886만원",주식회사,"6,843만원",www.dhstl.co.kr,1개,138명,136명,24명/61명
디아이,인쇄관련 산업,16년 (2008년 설립),"193억 1,884만원",주식회사,"4,849만원",-,1개,260명,353명,107명/206명
신성이엔지,"금속 열처리, 도금 및 기타 금속 가공업",12년 (2012년 설립),"34억 6,704만원",기타 법인,"4,411만원",-,1개,10명,10명,5명/3명
티에이치엔,건축 및 조경 설계 서비스업,9년 (2015년 설립),-,기타 법인,"3,046만원",-,1개,7명,3명,4명/1명
한온시스템,자동차용 기타 신품 부품 제조업,16년 (2008년 설립),"911억 6,533만원",기타 법인,"6,032만원",-,1개,181명,170명,11명/8명
HLB,서적 및 문구용품 소매업,2년 (2022년 설립),-,주식회사,"3,509만원",-,2개,4명,6명,1명/2명
팜스토리,가공식품 도매업,33년 (1991년 설립),-,주식회사,"6,118만원",www.dodrambnf.co.kr,1개,32명,100명,11명/7명
세원정공,1차 플라스틱제품 제조업,29년 (1995년 설립),-,기타 법인,"4,297만원",-,1개,62명,49명,31명/32명
영풍제지,-,54년 (1970년 설립),"1,206억 1,371만원",주식회사,"6,063만원",www.yp21.co.kr,1개,108명,104명,38명/38명
유니온,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,5년 (2019년 설립),-,주식회사,"4,574만원",https://www.urbandatalab.co.kr/,1개,22명,35명,21명/29명
키다리스튜디오,서적 출판업,37년 (1987년 설립),"540억 1,559만원",주식회사,비공개,http://kidaristudio.com/,2개,비공개,비공개,비공개
한국제지,-,4년 (2020년 설립),"5,182억 53만원",,"6,032만원",-,1개,240명,,
한섬,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,8년 (2016년 설립),-,,"1,261만원",-,1개,1명,,
현대엘리베이터,건물설비 설치 공사업,40년 (1984년 설립),"1조 5,449억 8,443만원",주식회사,"9,105만원",www.hyundaielevator.co.kr,1개,"1,442명","2,786명",164명/230명
환인제약,기초 의약 물질 및 생물학적 제제 제조업,42년 (1982년 설립),"1,771억 7,913만원",주식회사,"6,491만원",www.whanin.co.kr,2개,845명,628명,172명/166명
삼보판지,골판지 및 골판지 가공제품 제조업,43년 (1981년 설립),-,주식회사,"5,934만원",www.isambo.com,1개,287명,256명,45명/48명
